▲ Next.js 16.2.1 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.82:3000
- Environments: .env.local, .env
✓ Ready in 197ms

(node:59400) Warning: SECURITY WARNING: The SSL modes 'prefer', 'require', and 'verify-ca' are treated as aliases for 'verify-full'.
In the next major version (pg-connection-string v3.0.0 and pg v9.0.0), these modes will adopt standard libpq semantics, which have weaker security guarantees.

To prepare for this change:
- If you want the current behavior, explicitly use 'sslmode=verify-full'
- If you want libpq compatibility now, use 'uselibpqcompat=true&sslmode=require'

See https://www.postgresql.org/docs/current/libpq-ssl.html for libpq SSL mode definitions.
(Use `node --trace-warnings ...` to show where the warning was created)
 GET /dashboard 200 in 2.2s (next.js: 925ms, application-code: 1234ms)
 GET /api/p2p/initial-capital 200 in 243ms (next.js: 62ms, application-code: 181ms)
 GET /api/operations 200 in 1299ms (next.js: 201ms, application-code: 1098ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 682ms (next.js: 53ms, application-code: 629ms)
 GET /api/p2p/capacity 200 in 295ms (next.js: 47ms, application-code: 248ms)
 GET /api/p2p/initial-capital 200 in 126ms (next.js: 1641µs, application-code: 125ms)
 GET /api/p2p/bot/exchange-config?_=tpzfb2s76h 200 in 966ms (next.js: 70ms, application-code: 896ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 1039ms (next.js: 124ms, application-code: 915ms)
 GET /api/p2p/bot/config 200 in 1040ms (next.js: 107ms, application-code: 933ms)
 GET /api/p2p/bot/exchange-config?_=uefzy0nby5 200 in 133ms (next.js: 1289µs, application-code: 132ms)
 GET /api/p2p/initial-capital 200 in 129ms (next.js: 773µs, application-code: 128ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 127ms (next.js: 821µs, application-code: 126ms)
 GET /api/binance/credentials 200 in 199ms (next.js: 73ms, application-code: 126ms)
 GET /api/p2p/bot/config 200 in 143ms (next.js: 1725µs, application-code: 141ms)
 GET /api/expenses 200 in 298ms (next.js: 45ms, application-code: 253ms)
 GET /api/binance/credentials 200 in 129ms (next.js: 1477µs, application-code: 128ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1391ms (next.js: 138ms, application-code: 1253ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 4ms (next.js: 1195µs, application-code: 3ms)
 GET /api/p2p/capacity 200 in 252ms (next.js: 1195µs, application-code: 251ms)
 GET /api/capital 200 in 322ms (next.js: 71ms, application-code: 251ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 602ms (next.js: 1340µs, application-code: 600ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 588ms (next.js: 1646µs, application-code: 586ms)
 GET /api/binance/p2p-history 200 in 4.5s (next.js: 86ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 2ms, application-code: 130ms)
 GET /api/p2p/capacity 200 in 260ms (next.js: 3ms, application-code: 257ms)
 POST /api/p2p/bot/cycle 200 in 29.9s (next.js: 51ms, application-code: 29.8s)
 GET /api/p2p/bot/config 200 in 139ms (next.js: 5ms, application-code: 135ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 141ms (next.js: 9ms, application-code: 131ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 501ms (next.js: 1246µs, application-code: 500ms)
 GET /api/p2p/bot/exchange-config?_=cj49os3h8be 200 in 890ms (next.js: 2ms, application-code: 888ms)
 GET /api/binance/credentials 200 in 133ms (next.js: 3ms, application-code: 130ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 597ms (next.js: 4ms, application-code: 593ms)
 GET /api/binance/p2p-history 200 in 5.9s (next.js: 4ms, application-code: 5.9s)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 3ms, application-code: 129ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 3ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 135ms (next.js: 6ms, application-code: 130ms)
 GET /api/p2p/capacity 200 in 1032ms (next.js: 8ms, application-code: 1024ms)
 POST /api/p2p/bot/cycle 200 in 28.5s (next.js: 4ms, application-code: 28.5s)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 141ms (next.js: 9ms, application-code: 132ms)
 GET /api/p2p/bot/config 200 in 145ms (next.js: 5ms, application-code: 140ms)
 GET /api/p2p/bot/exchange-config?_=tm98m0akuhr 200 in 893ms (next.js: 5ms, application-code: 888ms)
 GET /api/binance/credentials 200 in 136ms (next.js: 3ms, application-code: 132ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1294ms (next.js: 15ms, application-code: 1279ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 610ms (next.js: 3ms, application-code: 607ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 17ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 143ms (next.js: 8ms, application-code: 134ms)
 GET /api/binance/p2p-history 200 in 5.1s (next.js: 5ms, application-code: 5.1s)
 GET /api/p2p/initial-capital 200 in 132ms (next.js: 3ms, application-code: 129ms)
 GET /api/p2p/capacity 200 in 1030ms (next.js: 5ms, application-code: 1026ms)
 POST /api/p2p/bot/cycle 200 in 27.6s (next.js: 5ms, application-code: 27.6s)
 GET /api/p2p/bot/config 200 in 152ms (next.js: 19ms, application-code: 133ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 263ms (next.js: 9ms, application-code: 254ms)
 GET /api/p2p/bot/exchange-config?_=sdc0zzzc3db 200 in 909ms (next.js: 7ms, application-code: 902ms)
 GET /api/binance/credentials 200 in 137ms (next.js: 3ms, application-code: 134ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1286ms (next.js: 7ms, application-code: 1279ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 605ms (next.js: 3ms, application-code: 603ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 9ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 134ms (next.js: 4ms, application-code: 130ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 8ms, application-code: 5.2s)
 GET /api/p2p/initial-capital 200 in 139ms (next.js: 6ms, application-code: 133ms)
 GET /api/p2p/capacity 200 in 1053ms (next.js: 5ms, application-code: 1048ms)
 POST /api/p2p/bot/cycle 200 in 28.4s (next.js: 3ms, application-code: 28.4s)
 GET /api/p2p/bot/config 200 in 141ms (next.js: 4ms, application-code: 137ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 146ms (next.js: 8ms, application-code: 138ms)
 GET /api/p2p/bot/exchange-config?_=378jdbxqtxo 200 in 899ms (next.js: 5ms, application-code: 894ms)
 GET /api/binance/credentials 200 in 133ms (next.js: 3ms, application-code: 130ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1275ms (next.js: 2ms, application-code: 1273ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 599ms (next.js: 3ms, application-code: 596ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 16ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 3ms, application-code: 130ms)
 GET /api/binance/p2p-history 200 in 5.1s (next.js: 6ms, application-code: 5.1s)
 GET /api/p2p/initial-capital 200 in 129ms (next.js: 3ms, application-code: 127ms)
 GET /api/p2p/capacity 200 in 1024ms (next.js: 2ms, application-code: 1022ms)
 POST /api/p2p/bot/cycle 200 in 27.6s (next.js: 4ms, application-code: 27.6s)
 GET /api/p2p/bot/config 200 in 137ms (next.js: 3ms, application-code: 134ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 264ms (next.js: 7ms, application-code: 257ms)
 GET /api/p2p/bot/exchange-config?_=xgfhhchcli 200 in 898ms (next.js: 6ms, application-code: 892ms)
 GET /api/binance/credentials 200 in 135ms (next.js: 4ms, application-code: 131ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1288ms (next.js: 11ms, application-code: 1277ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 608ms (next.js: 1731µs, application-code: 607ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 13ms, application-code: 4.3s)
 GET /api/p2p/initial-capital 200 in 135ms (next.js: 3ms, application-code: 132ms)
 GET /api/binance/p2p-history 200 in 5.2s (next.js: 4ms, application-code: 5.2s)
 GET /api/p2p/initial-capital 200 in 143ms (next.js: 6ms, application-code: 136ms)
 GET /api/p2p/capacity 200 in 1373ms (next.js: 3ms, application-code: 1370ms)
 POST /api/p2p/bot/cycle 200 in 29.3s (next.js: 4ms, application-code: 29.3s)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 187ms (next.js: 11ms, application-code: 176ms)
 GET /api/p2p/bot/config 200 in 189ms (next.js: 5ms, application-code: 184ms)
 GET /api/p2p/bot/exchange-config?_=rs7zmzqox2 200 in 1225ms (next.js: 4ms, application-code: 1221ms)
 GET /api/binance/credentials 200 in 141ms (next.js: 3ms, application-code: 137ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1601ms (next.js: 2ms, application-code: 1598ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 718ms (next.js: 2ms, application-code: 716ms)
 GET /api/binance/p2p-history 200 in 5.7s (next.js: 7ms, application-code: 5.7s)
 GET /api/p2p/initial-capital 200 in 130ms (next.js: 1663µs, application-code: 129ms)
 GET /api/binance/p2p-history 200 in 5.7s (next.js: 18ms, application-code: 5.7s)
 GET /api/p2p/initial-capital 200 in 164ms (next.js: 20ms, application-code: 144ms)
 GET /api/p2p/capacity 200 in 267ms (next.js: 6ms, application-code: 261ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 8ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 144ms (next.js: 9ms, application-code: 134ms)
 POST /api/p2p/bot/cycle 200 in 31.9s (next.js: 3ms, application-code: 31.9s)
 GET /api/p2p/bot/config 200 in 140ms (next.js: 7ms, application-code: 133ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 270ms (next.js: 12ms, application-code: 258ms)
 GET /api/p2p/bot/exchange-config?_=xpqsl0s59op 200 in 922ms (next.js: 6ms, application-code: 916ms)
 GET /api/binance/credentials 200 in 167ms (next.js: 2ms, application-code: 165ms)
 GET /api/p2p/bot/orders?limit=20&live=true&exchange=binance 200 in 1320ms (next.js: 17ms, application-code: 1304ms)
 GET /api/p2p/bot/ads?exchange=binance 200 in 603ms (next.js: 2ms, application-code: 600ms)
 GET /api/binance/p2p-history 200 in 4.4s (next.js: 6ms, application-code: 4.4s)
 GET /api/p2p/initial-capital 200 in 134ms (next.js: 3ms, application-code: 131ms)
 GET /dashboard 200 in 1230ms (next.js: 10ms, application-code: 1220ms)
 POST /api/p2p/bot/cycle 200 in 11.3s (next.js: 5ms, application-code: 11.3s)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 1988µs, application-code: 131ms)
 GET /api/p2p/bot/logs?limit=30&exchange=binance 200 in 146ms (next.js: 9ms, application-code: 137ms)
 GET /api/p2p/bot/config 200 in 148ms (next.js: 3ms, application-code: 145ms)
 GET /api/p2p/initial-capital 200 in 133ms (next.js: 1645µs, application-code: 132ms)
 GET /api/p2p/capacity 200 in 258ms (next.js: 3ms, application-code: 254ms)
 GET /api/operations 200 in 1092ms (next.js: 43ms, application-code: 1048ms)
